CanonicalId,OntologyType,SourceId,SourceSystem
tbn3dhj8,Image,b21222630/FILE_0289_OBJECTS,mets-image
n3nj482p,Image,b21206466/FILE_0632_OBJECTS,mets-image
p53qy5eh,Image,b24990723/FILE_0150_OBJECTS,mets-image
hn7tb7za,Image,b31359292/FILE_0316_OBJECTS,mets-image
kzqs6y27,Image,b21082157/FILE_0241_OBJECTS,mets-image
d8sfjzty,Image,b21222745/FILE_0065_OBJECTS,mets-image
unhw57gy,Work,b10489745,sierra-system-number
wywbf2bk,Work,088503f0-db25-49bb-89e3-43c75aedb71e,calm-record-id
r55n5fqk,Work,b23336456,sierra-system-number
mna8bux4,Image,b18430089/FILE_0010_OBJECTS,mets-image
wcjr23w3,Image,b21166845/FILE_0092_OBJECTS,mets-image
pbxm6phc,Image,b28756459/FILE_0086_OBJECTS,mets-image
f7v4ukce,Image,b29815083/FILE_0074_OBJECTS,mets-image
nzp9prp9,Image,b29294368/FILE_0128_OBJECTS,mets-image
bsp77ebv,Work,b29331936,mets
sbmdhfnb,Image,b2103431x/FILE_0130_OBJECTS,mets-image
x8kcbbm7,Image,b21130759/FILE_0876_OBJECTS,mets-image
jdaeyuh8,Image,b2171678x/FILE_0478_OBJECTS,mets-image
sc2meka5,Image,b22324641/FILE_0107_OBJECTS,mets-image
vew66sq8,Work,b1540431,sierra-system-number
j6zktmda,Image,b21287296/FILE_0104_OBJECTS,mets-image
ukh6nhrc,Subject,sh85146319,lc-subjects
j9vaf7yy,Subject,royal botanic society,label-derived
xxqvukb5,Image,b21231102/FILE_0086_OBJECTS,mets-image
swqs35gg,Image,b22473294/FILE_0029_OBJECTS,mets-image
xucsx3hk,Image,b21442411/FILE_0449_OBJECTS,mets-image
emm8vzkv,Image,b2150572x/FILE_0099_OBJECTS,mets-image
xfw2naj3,Work,b26133076,sierra-system-number
z78qbqjm,Image,b31824821/FILE_0023_OBJECTS,mets-image
ksn4fgdg,Work,b2486574,sierra-system-number
wubz9d3r,Image,b21900802/FILE_0163_OBJECTS,mets-image
pq77n2kv,Image,b21922184/FILE_0222_OBJECTS,mets-image
gk839tqs,Image,b29329887/FILE_0293_OBJECTS,mets-image
y23by55q,Work,b31666231,mets
ync5eak6,Image,b21929804/FILE_0134_OBJECTS,mets-image
